,UCL,,,,,,,,,,UNF,,,,,,,,,,Vanderbilt,,,,,,,,,,Zurich,,,,,,,,,,MEAN,STD,,,Average per center (dice),,,
Soft-Adap-Relu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCL,UNF,Vanderbilt,Zurich
avd_class0,0.083217599452342,0.12926137229713,0.080724332255841,0.15262423003467,0.082234919519546,0.142004681008875,0.086422345583697,0.142319172952657,0.104468443071577,0.095754477281571,0.125717115725118,0.107216606747232,0.159914399707829,0.153294872460245,0.189802052116141,0.162303674750721,0.131068563091395,0.145474731076459,0.247223740433182,0.210551962390052,0.050097182960068,0.051757693136668,0.039451463191169,0.044543906531978,0.047176835725783,0.046640933646782,0.045254761318099,0.044236603153013,0.046606242502957,0.058951312578087,0.288404198822606,0.420365697352578,0.324782013479158,0.403592954616939,0.3339775319478,0.36835013521008,0.401982410752194,0.356260811379791,0.325791789541228,0.331486345596896,0.169032752885004,0.120960235073032,,,,,,
dice_class0,0.894635087096668,0.885604906583996,0.892434491475907,0.874966500943205,0.897054512989164,0.882143586507357,0.891142722825143,0.869115482586388,0.887243496624083,0.896406156950571,0.86919717306327,0.874116653174524,0.844661317071721,0.858368494634327,0.816596797069886,0.847625240456296,0.870774974345586,0.852847330380892,0.793878111608596,0.816231421572363,0.866133808212546,0.869317438742356,0.869189750859224,0.873708713488321,0.854709025151484,0.874095769111707,0.877076953052075,0.86418104226876,0.868662402554858,0.861039223811233,0.753668469716175,0.771975802431601,0.798148124322034,0.778289813200485,0.768576291201381,0.78876257185152,0.756445053374295,0.742175084198707,0.789628266635214,0.787423830137943,0.843206297307047,0.046594901974461,,Soft-Adap-Relu,0.887074694458248,0.844429751337746,0.867811412725257,0.773509330706936
lfdr_class0,0,0.05,0.05,0,0,0.066666666666667,0.05,0,0.05,0,0.038461538461539,0.051282051282051,0.173076923076923,0,0.147435897435897,0.038461538461539,0.076923076923077,0.128205128205128,0.076923076923077,0.08974358974359,0.133333333333333,0.0875,0.185833333333333,0.095833333333333,0.145833333333333,0.0875,0.058333333333333,0.15,0.083333333333333,0.083333333333333,0.494166666666667,0.596944444444445,0.438333333333333,0.586964285714286,0.555,0.425833333333333,0.453333333333333,0.844484126984127,0.615,0.569166666666667,0.194430975274725,0.225387850440602,,,,,,
ltpr_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,
mse_class0,0.003,0.00317,0.0031,0.0034,0.00293,0.00326,0.00312,0.00363,0.00315,0.00293,0.001484375,0.001452824519231,0.001729266826923,0.001579026442308,0.001801382211538,0.001654897836538,0.001472355769231,0.001619591346154,0.002014723557692,0.001858473557692,0.002209975262077,0.002169397470902,0.002192448830118,0.002119021513024,0.002391659950723,0.002083173167949,0.00203158008809,0.002247994870556,0.002182306095045,0.00231952075569,0.003834892491635,0.003831120929713,0.003236625230204,0.003701994405723,0.003736497336187,0.003459283471175,0.004044909580648,0.004138035695936,0.00337719398407,0.003424926556156,0.002677236868823,0.000826091486714,,,,,,
n_gt_class0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,
n_pred_class0,1.1,1.2,1.2,1,1,1.3,1.1,1,1.1,1,1.23076923076923,1.23076923076923,1.84615384615385,1.15384615384615,1.92307692307692,1.38461538461538,1.38461538461538,1.46153846153846,2,1.69230769230769,1.3,1.3,1.6,1.35,1.5,1.25,1.15,1.5,1.2,1.3,3.1,4.05,2.5,3.7,3.1,2.4,2.85,7.6,3.4,2.7,1.87894230769231,1.2363854195617,,,,,,
precision_class0,0.936957593368536,0.955735140453241,0.928612205732646,0.956898779298811,0.93879650888791,0.955072297168394,0.925735368753396,0.946582683578861,0.943940992402906,0.94301274888847,0.932094226738576,0.924482031884162,0.927121238776003,0.93863112736378,0.929048313923411,0.935234068349292,0.93485817563954,0.933190391178124,0.945982692859822,0.94120709664061,0.879937165802794,0.875358528416319,0.869523454714898,0.873614008728617,0.869288656705129,0.886751183656335,0.89052422124701,0.874717060818901,0.87526430637243,0.865542599461979,0.680543602803392,0.664429418392687,0.708098374351268,0.67205427474888,0.67941824760279,0.690272671441362,0.655834923619203,0.656163461080947,0.700194420890758,0.696910428419021,0.85844086727903,0.107925549018642,,,,,,
recall_class0,0.861378644179108,0.831747074858762,0.863846297872123,0.81178075541733,0.863728533998592,0.825263626644931,0.864433611608758,0.809691366977318,0.84401114916632,0.861020135251346,0.82128579510283,0.834802579750257,0.785473670533621,0.79871864884404,0.762708783276589,0.788267329130654,0.820147613264693,0.795957496563379,0.713253446864601,0.745955011646192,0.854179440774669,0.865078118077438,0.869852026891183,0.874944016032946,0.841998935902397,0.863038587397855,0.865024298049542,0.854994063382887,0.863607931369668,0.859025436782663,0.853619419347759,0.929003967300881,0.921314644345131,0.931227666714348,0.891024159753646,0.927442055592734,0.902800047324148,0.866203922365263,0.911893599333694,0.91161217702302,0.849033902117833,0.049560443791576,,,,,,
